timestamp,y_pred
2025-03-01 00:00:00,65303.19921875
2025-03-01 01:00:00,62634.60546875
2025-03-01 02:00:00,60853.9765625
2025-03-01 03:00:00,59717.30859375
2025-03-01 04:00:00,59290.80078125
2025-03-01 05:00:00,59818.2265625
2025-03-01 06:00:00,60756.0859375
2025-03-01 07:00:00,63083.5234375
2025-03-01 08:00:00,65317.35546875
2025-03-01 09:00:00,67630.3828125
2025-03-01 10:00:00,68308.5546875
2025-03-01 11:00:00,68701.2421875
2025-03-01 12:00:00,68009.5390625
2025-03-01 13:00:00,66779.3046875
2025-03-01 14:00:00,68260.015625
2025-03-01 15:00:00,69249.9453125
2025-03-01 16:00:00,70236.796875
2025-03-01 17:00:00,71006.3515625
2025-03-01 18:00:00,71631.8671875
2025-03-01 19:00:00,72459.8671875
2025-03-01 20:00:00,71942.125
2025-03-01 21:00:00,70542.8046875
2025-03-01 22:00:00,68574.9296875
2025-03-01 23:00:00,67020.0234375
